Artist_Name,Number_of_Track_Collaborations,Degree_Centrality
Lil Wayne,20,0.3278688524590164
Future,19,0.3114754098360656
Travis Scott,19,0.3114754098360656
The Weeknd,17,0.27868852459016397
Drake,16,0.26229508196721313
Ty Dolla $ign,16,0.26229508196721313
Playboi Carti,15,0.24590163934426232
Quavo,13,0.21311475409836067
Post Malone,13,0.21311475409836067
Kendrick Lamar,12,0.19672131147540983
SZA,11,0.18032786885245902
Justin Bieber,11,0.18032786885245902
21 Savage,11,0.18032786885245902
Metro Boomin,11,0.18032786885245902
Bad Bunny,11,0.18032786885245902
Beyonce,10,0.1639344262295082
Kanye West,10,0.1639344262295082
Peso Pluma,10,0.1639344262295082
Rihanna,9,0.14754098360655737
Calvin Harris,8,0.13114754098360656
Rauw Alejandro,8,0.13114754098360656
Don Toliver,8,0.13114754098360656
Eminem,8,0.13114754098360656
Anuel AA,7,0.11475409836065574
Gabito Ballesteros,7,0.11475409836065574
Junior H,7,0.11475409836065574
KAROL G,7,0.11475409836065574
Myke Towers,7,0.11475409836065574
"Tyler, The Creator",7,0.11475409836065574
Ariana Grande,7,0.11475409836065574
Bruno Mars,6,0.09836065573770492
Shakira,6,0.09836065573770492
Fuerza Regida,6,0.09836065573770492
David Guetta,6,0.09836065573770492
Doja Cat,6,0.09836065573770492
Ed Sheeran,6,0.09836065573770492
Natanael Cano,6,0.09836065573770492
Oscar Maydon,6,0.09836065573770492
Haze,5,0.0819672131147541
benny blanco,5,0.0819672131147541
Sexyy Red,5,0.0819672131147541
Feid,5,0.0819672131147541
Arijit Singh,5,0.0819672131147541
Lady Gaga,4,0.06557377049180328
Taylor Swift,4,0.06557377049180328
Lana Del Rey,4,0.06557377049180328
Pritam,4,0.06557377049180328
Neton Vega,4,0.06557377049180328
ATL Jacob,3,0.04918032786885246
GloRilla,3,0.04918032786885246
Nikhita Gandhi,3,0.04918032786885246
Amitabh Bhattacharya,3,0.04918032786885246
Prashant Pandey,3,0.04918032786885246
XXXTENTACION,2,0.03278688524590164
Dua Lipa,2,0.03278688524590164
Ram Sampath,2,0.03278688524590164
OneRepublic,2,0.03278688524590164
Morgan Wallen,1,0.01639344262295082
Billie Eilish,1,0.01639344262295082
Coldplay,1,0.01639344262295082
Carin Leon,1,0.01639344262295082
Ellie Goulding,1,0.01639344262295082
