Artist_Name,Number_of_Track_Collaborations,Degree_Centrality
Future,72,0.3278688524590164
Lil Wayne,28,0.3278688524590164
Travis Scott,48,0.3114754098360656
The Weeknd,18,0.27868852459016397
Drake,55,0.26229508196721313
Ty Dolla $ign,60,0.26229508196721313
Playboi Carti,95,0.24590163934426232
Quavo,23,0.22950819672131148
Post Malone,16,0.21311475409836067
Kendrick Lamar,9,0.19672131147540983
SZA,16,0.18032786885245902
Justin Bieber,12,0.18032786885245902
21 Savage,82,0.18032786885245902
Metro Boomin,135,0.18032786885245902
Bad Bunny,9,0.18032786885245902
Beyonce,10,0.1639344262295082
Kanye West,39,0.1639344262295082
Peso Pluma,17,0.1639344262295082
Rihanna,16,0.14754098360655737
Calvin Harris,14,0.13114754098360656
Rauw Alejandro,11,0.13114754098360656
Don Toliver,13,0.13114754098360656
Eminem,10,0.13114754098360656
Anuel AA,5,0.11475409836065574
Gabito Ballesteros,14,0.11475409836065574
Junior H,20,0.11475409836065574
KAROL G,10,0.11475409836065574
Myke Towers,2,0.11475409836065574
"Tyler, The Creator",11,0.11475409836065574
Ariana Grande,7,0.11475409836065574
Bruno Mars,6,0.09836065573770492
Shakira,6,0.09836065573770492
David Guetta,5,0.09836065573770492
Fuerza Regida,6,0.09836065573770492
Doja Cat,6,0.09836065573770492
Ed Sheeran,5,0.09836065573770492
Natanael Cano,21,0.09836065573770492
Oscar Maydon,12,0.09836065573770492
benny blanco,8,0.0819672131147541
Haze,12,0.0819672131147541
Sexyy Red,5,0.0819672131147541
Feid,4,0.0819672131147541
Arijit Singh,81,0.0819672131147541
Lady Gaga,4,0.06557377049180328
Taylor Swift,7,0.06557377049180328
Lana Del Rey,5,0.06557377049180328
Pritam,39,0.06557377049180328
Neton Vega,6,0.06557377049180328
ATL Jacob,2,0.04918032786885246
GloRilla,3,0.04918032786885246
Nikhita Gandhi,3,0.04918032786885246
Amitabh Bhattacharya,20,0.04918032786885246
Prashant Pandey,17,0.04918032786885246
XXXTENTACION,3,0.03278688524590164
Dua Lipa,1,0.03278688524590164
Ram Sampath,5,0.03278688524590164
OneRepublic,13,0.03278688524590164
Morgan Wallen,1,0.01639344262295082
Billie Eilish,1,0.01639344262295082
Coldplay,1,0.01639344262295082
Carin Leon,0,0.01639344262295082
Ellie Goulding,3,0.01639344262295082
